Time Opened,Time Closed,Asset,Direction,Entry Price,Exit Price,PnL %,Est PnL USD,Exit Reason,Held (mins),Entry RSI,Entry Trend,Strategy
2026-06-07T03:57:34.553824+00:00,2026-06-07T04:17:40.114092+00:00,BTC/USDT,long,61677.3,61597.2,-0.1299,-40.05,time_exit,20.1,33.67,UP,16
2026-06-07T04:33:19.857726+00:00,2026-06-07T04:42:06.312001+00:00,BTC/USDT,long,61573.9,61773.5,0.3242,99.8,take_profit,8.8,36.65,UP,16
2026-06-07T05:11:59.880865+00:00,2026-06-07T05:18:52.872915+00:00,BTC/USDT,long,61814.2,62011.9,0.3198,98.85,take_profit,6.9,37.21,DOWN,16
2026-06-07T05:27:45.081901+00:00,2026-06-07T05:33:44.022008+00:00,BTC/USDT,long,61858.7,61659.5,-0.322,-99.6,stop_loss,6.0,37.85,DOWN,16
2026-06-07T05:33:48.548377+00:00,2026-06-07T05:39:49.345429+00:00,BTC/USDT,long,61659.5,61857.6,0.3213,99.05,take_profit,6.0,35.11,DOWN,16
2026-06-07T06:03:44.299360+00:00,2026-06-07T06:23:25.461653+00:00,BTC/USDT,long,61671.5,61858.8,0.3037,93.65,take_profit,19.7,36.18,DOWN,16
2026-06-07T06:33:32.116085+00:00,2026-06-07T06:54:17.120923+00:00,BTC/USDT,long,62092.3,62050.6,-0.0672,-20.85,time_exit,20.8,37.13,UP,16
2026-06-07T06:56:38.112540+00:00,2026-06-07T07:16:44.696475+00:00,BTC/USDT,long,62064.1,62162.5,0.1585,49.2,time_exit,20.1,37.49,DOWN,16
2026-06-07T08:41:11.609434+00:00,2026-06-07T08:46:54.799289+00:00,BTC/USDT,long,62457.7,62734.5,0.4432,138.4,take_profit,5.7,33.58,DOWN,16
2026-06-07T09:08:19.187767+00:00,2026-06-07T09:24:03.425605+00:00,BTC/USDT,long,62870.6,62663.8,-0.3289,-103.4,stop_loss,15.7,36.58,UP,16
2026-06-07T09:32:34.876543+00:00,2026-06-07T09:53:10.624012+00:00,BTC/USDT,long,62608.3,62614.2,0.0094,2.95,time_exit,20.6,37.47,DOWN,16
2026-06-07T10:05:52.905140+00:00,2026-06-07T10:26:39.628021+00:00,BTC/USDT,long,62422.8,62519.2,0.1544,48.2,time_exit,20.8,29.39,DOWN,16
2026-06-07T10:37:30.376424+00:00,2026-06-07T10:58:14.076341+00:00,BTC/USDT,long,62411.9,62444.7,0.0526,16.4,time_exit,20.7,37.57,DOWN,16
